Model,Year,Region,Color,Fuel_Type,Transmission,Engine_Size_L,Mileage_KM,Price_USD,Sales_Volume,Sales_Classification
3 Series,2011,Middle East,Grey,Diesel,Automatic,3.1,34052,35228,8486,High
X1,2023,Africa,Blue,Diesel,Manual,3.4,17861,84643,4966,Low
M3,2018,Middle East,Silver,Petrol,Manual,4.2,102573,76435,8783,High
X5,2021,Middle East,Black,Petrol,Manual,2.4,192135,101210,2843,Low
5 Series,2023,Europe,Red,Petrol,Automatic,3.6,129243,108354,6435,Low
M3,2010,South America,Silver,Hybrid,Manual,4.7,161738,91467,8805,High
7 Series,2010,Asia,Silver,Electric,Automatic,1.7,119853,72151,3689,Low
X1,2022,North America,White,Hybrid,Automatic,4.8,109796,47605,8372,High
X5,2016,Europe,Silver,Diesel,Automatic,2,39861,73091,2653,Low
3 Series,2011,Asia,Silver,Hybrid,Automatic,4.5,136124,93228,5485,Low
5 Series,2024,North America,Silver,Hybrid,Automatic,4.9,78177,110946,6463,Low
X6,2016,South America,Red,Diesel,Manual,1.8,33132,104860,1720,Low
i8,2012,Middle East,Black,Petrol,Automatic,2.9,183645,101378,6836,Low
M3,2013,Asia,Silver,Electric,Automatic,4.5,192410,33650,6575,Low
M3,2015,Europe,Blue,Petrol,Manual,3.6,169420,103422,2478,Low
X1,2013,Middle East,White,Petrol,Automatic,1.6,27068,111360,7476,High
5 Series,2018,Africa,White,Electric,Automatic,4.6,128180,34684,2236,Low
5 Series,2010,Africa,Black,Diesel,Automatic,4.1,157065,93892,2247,Low
3 Series,2020,Africa,Silver,Petrol,Automatic,3.6,143420,80247,2387,Low
X3,2017,Africa,Silver,Hybrid,Automatic,1.7,37719,90364,5046,Low
M3,2016,Africa,Red,Electric,Automatic,4.7,68059,44310,2894,Low
X3,2021,South America,Grey,Petrol,Manual,3.7,80393,101210,6422,Low
3 Series,2018,Middle East,Red,Electric,Manual,4.3,135986,106482,6919,Low
7 Series,2017,Asia,Red,Hybrid,Manual,3.1,155016,92214,993,Low
X5,2024,Africa,Blue,Hybrid,Manual,4.6,15691,42718,9638,High
M5,2012,Africa,Blue,Electric,Automatic,2.8,360,88611,2352,Low
7 Series,2015,Asia,Red,Hybrid,Automatic,4.2,151454,93461,351,Low
M5,2023,Europe,Silver,Petrol,Automatic,2.7,36126,56815,6867,Low
5 Series,2022,South America,White,Electric,Manual,1.9,23011,36925,8380,High
5 Series,2013,Africa,Red,Diesel,Manual,3,185198,58854,8522,High
7 Series,2023,North America,Black,Petrol,Manual,1.5,67239,95084,8077,High
5 Series,2019,Asia,Blue,Hybrid,Manual,3.8,115227,79059,6762,Low
i3,2010,Europe,Black,Petrol,Automatic,1.6,82529,51582,267,Low
M3,2012,Europe,Grey,Petrol,Manual,4.4,96542,58130,3509,Low
7 Series,2016,Europe,Blue,Electric,Manual,5,102645,106704,1631,Low
5 Series,2020,Africa,Black,Diesel,Automatic,3.7,166519,75307,3663,Low
X1,2023,North America,Grey,Diesel,Automatic,2.1,73767,85042,2202,Low
3 Series,2020,South America,Red,Hybrid,Manual,3.1,168557,101606,4948,Low
i8,2010,Europe,Grey,Hybrid,Automatic,2.1,49536,95880,2636,Low
M3,2018,Europe,Black,Diesel,Automatic,1.8,161871,73613,5469,Low
M3,2016,Middle East,Grey,Diesel,Automatic,2.9,100882,96235,638,Low
M3,2018,South America,White,Electric,Automatic,1.9,133538,63350,7082,High
X6,2010,Asia,Black,Diesel,Manual,3.8,13922,61341,4020,Low
i8,2015,South America,Black,Petrol,Manual,1.7,160336,59870,4270,Low
X1,2010,Africa,Red,Electric,Automatic,3.7,70582,32634,5754,Low
M5,2022,Middle East,Grey,Petrol,Manual,3.7,117030,97533,7623,High
X5,2010,Europe,Silver,Hybrid,Manual,4.8,68537,82029,4781,Low
5 Series,2017,Africa,Black,Electric,Automatic,4,45850,37111,2646,Low
M3,2010,Africa,Red,Diesel,Automatic,4.3,62284,95241,6187,Low
3 Series,2013,South America,White,Hybrid,Automatic,4.1,106717,88180,712,Low
3 Series,2017,Middle East,Black,Diesel,Manual,3.4,69142,37059,3760,Low
M5,2017,Asia,Grey,Hybrid,Automatic,1.8,44575,48130,3292,Low
X5,2019,Africa,Grey,Hybrid,Automatic,4.4,73385,87229,3156,Low
M5,2010,South America,Red,Petrol,Manual,3.2,11601,56747,966,Low
i3,2018,Asia,Grey,Petrol,Automatic,4.6,195827,63392,1524,Low
3 Series,2022,Africa,Black,Diesel,Manual,4.2,85562,84686,9502,High
M5,2013,Asia,White,Petrol,Automatic,2.2,88881,113613,3801,Low
i8,2017,Asia,Grey,Diesel,Automatic,4.1,176859,94557,3239,Low
i8,2011,Africa,Blue,Hybrid,Automatic,3.3,147377,57957,2055,Low
5 Series,2020,Middle East,Silver,Petrol,Automatic,3.1,19133,86572,8227,High
M5,2022,Africa,White,Diesel,Manual,2.1,71441,30476,2343,Low
M3,2022,North America,White,Petrol,Automatic,1.6,78238,85474,3077,Low
X5,2018,Middle East,White,Hybrid,Manual,4.7,76758,92656,7283,High
7 Series,2021,Africa,Black,Diesel,Automatic,3.2,153972,119463,2819,Low
X5,2020,Asia,Grey,Diesel,Manual,3.3,448,76019,4918,Low
X3,2015,Asia,Red,Petrol,Manual,2.7,71064,90559,905,Low
3 Series,2017,North America,Blue,Hybrid,Manual,3,154016,33096,826,Low
3 Series,2011,Middle East,Silver,Hybrid,Automatic,3.5,29685,104146,4591,Low
5 Series,2014,Europe,Grey,Petrol,Automatic,3.8,7738,93027,4600,Low
M5,2020,South America,Silver,Hybrid,Automatic,2.7,171863,31365,2157,Low
X6,2018,South America,Red,Diesel,Automatic,2.4,96602,82637,8232,High
M5,2016,Asia,Black,Electric,Manual,2.5,133484,39524,1022,Low
M3,2020,Asia,Silver,Petrol,Manual,1.6,115757,71789,9663,High
i8,2023,North America,Grey,Petrol,Automatic,1.6,105324,110848,6162,Low
X1,2013,Africa,Grey,Electric,Manual,2,1035,69966,995,Low
M5,2019,Asia,White,Petrol,Automatic,3.1,191338,30317,7580,High
i3,2014,Middle East,Grey,Electric,Automatic,3.8,99372,46088,3963,Low
M5,2018,Africa,Red,Hybrid,Manual,3.7,83098,68637,4456,Low
X6,2011,South America,White,Hybrid,Manual,4.3,46105,109938,2178,Low
X1,2020,Europe,Red,Hybrid,Manual,2.3,101600,84222,5233,Low
M5,2023,South America,Black,Hybrid,Automatic,4.1,16308,45624,7865,High
X3,2011,Middle East,White,Hybrid,Automatic,5,98354,92994,5729,Low
i8,2019,North America,White,Petrol,Manual,1.9,193696,34431,4484,Low
M3,2015,North America,Blue,Diesel,Automatic,2.1,195805,116269,978,Low
7 Series,2015,Africa,Blue,Petrol,Automatic,1.7,154,47172,8175,High
i3,2021,South America,Silver,Electric,Manual,4.2,119620,107191,3881,Low
M3,2011,Asia,Red,Diesel,Automatic,4.5,47687,65852,7707,High
X5,2015,South America,Silver,Petrol,Manual,1.7,148892,82873,5830,Low
i8,2019,Europe,Grey,Petrol,Manual,2.6,83429,100345,8347,High
X3,2019,North America,Blue,Electric,Automatic,4.4,73276,69193,1618,Low
M3,2020,Africa,Blue,Diesel,Automatic,4.5,19187,68435,771,Low
5 Series,2022,North America,White,Hybrid,Automatic,4.3,140306,77063,9536,High
M5,2023,Middle East,Silver,Diesel,Automatic,2,60755,43432,7230,High
M3,2010,North America,Black,Hybrid,Manual,2,88803,66624,2937,Low
3 Series,2019,Asia,Red,Diesel,Manual,2.7,182142,71861,2571,Low
X3,2012,South America,Black,Electric,Manual,3.3,152678,93925,7198,High
X5,2011,Europe,Blue,Diesel,Manual,2.6,185400,90278,7494,High
7 Series,2019,Africa,White,Hybrid,Automatic,4,88602,111265,1456,Low
7 Series,2016,South America,Black,Petrol,Automatic,3.1,59009,76492,5052,Low
X5,2012,Africa,White,Electric,Automatic,1.7,81656,116533,5391,Low
M5,2012,Europe,Grey,Diesel,Automatic,1.9,96063,74758,2590,Low
X1,2017,South America,Black,Petrol,Manual,2.7,152571,62069,2311,Low
X3,2014,North America,White,Electric,Automatic,2.9,192706,72992,6716,Low
M3,2023,Europe,Grey,Electric,Manual,1.6,173265,88604,3927,Low
X3,2011,Middle East,Black,Electric,Manual,3.1,156171,106752,6428,Low
5 Series,2023,Europe,Blue,Petrol,Manual,3.8,145561,90206,2314,Low
X1,2023,North America,Silver,Hybrid,Manual,2.2,73743,52423,8614,High
X1,2023,Asia,Silver,Hybrid,Manual,4,132440,94400,3188,Low
i8,2013,South America,Silver,Electric,Automatic,4.1,51214,82032,2216,Low
i8,2016,Middle East,Grey,Electric,Automatic,3.2,30032,80724,8550,High
M5,2011,Asia,Grey,Diesel,Manual,2.2,128755,56099,1928,Low
X3,2014,Africa,White,Diesel,Automatic,4,15032,78606,9642,High
i8,2022,Europe,Red,Hybrid,Automatic,3.5,88385,115336,3226,Low
i3,2015,Asia,Silver,Diesel,Manual,2.3,65946,115465,4704,Low
i8,2022,Middle East,Silver,Hybrid,Automatic,3.4,63782,36822,3404,Low
X1,2019,South America,White,Petrol,Manual,2,24999,113540,2325,Low
3 Series,2024,South America,White,Diesel,Automatic,1.6,45907,79158,1418,Low
M5,2019,Asia,Grey,Petrol,Automatic,4.6,29297,40073,6389,Low
3 Series,2012,North America,White,Hybrid,Automatic,4.1,198788,87013,4333,Low
X5,2020,Europe,Red,Diesel,Manual,4.6,129847,54505,3662,Low
X5,2020,North America,Grey,Hybrid,Automatic,2.5,155842,108818,7647,High
M3,2022,Europe,Red,Diesel,Automatic,2.9,90952,37533,273,Low
X6,2014,South America,Black,Electric,Automatic,3.4,102453,96527,819,Low
7 Series,2023,Europe,Silver,Diesel,Manual,2.5,78188,111258,138,Low
X6,2013,Africa,Grey,Petrol,Manual,2.8,129364,118034,4606,Low
i3,2018,North America,Red,Electric,Automatic,4.2,85090,101976,1518,Low
X5,2016,Africa,Blue,Hybrid,Manual,2,48276,33742,2997,Low
M3,2011,South America,White,Electric,Manual,4.4,88242,106184,6490,Low
X1,2013,Africa,White,Electric,Manual,2.8,143849,62033,4353,Low
M3,2021,North America,Red,Petrol,Automatic,2.2,76164,92522,9348,High
X3,2023,Africa,White,Hybrid,Automatic,2.6,623,68086,1077,Low
X3,2017,Asia,Grey,Diesel,Automatic,3,36465,56583,4025,Low
5 Series,2021,North America,Blue,Electric,Automatic,2.6,194146,109630,3696,Low
M5,2013,South America,Silver,Electric,Automatic,1.8,101544,116191,9971,High
7 Series,2024,Europe,Blue,Electric,Manual,1.6,170605,54167,3620,Low
X5,2021,Asia,Silver,Petrol,Automatic,4.8,166678,36086,4214,Low
i3,2019,South America,Black,Diesel,Automatic,4,155950,57266,9358,High
7 Series,2011,North America,Grey,Electric,Automatic,3.7,77273,31019,8756,High
5 Series,2014,Asia,Grey,Petrol,Manual,2.6,153835,58307,2523,Low
X6,2023,North America,Silver,Petrol,Manual,4,61703,101506,866,Low
X3,2022,North America,Red,Hybrid,Manual,2.1,174917,72640,3480,Low
M3,2020,Europe,Black,Hybrid,Automatic,4.6,62623,96348,5955,Low
X5,2023,Europe,Red,Diesel,Automatic,2.9,179000,48890,7439,High
5 Series,2019,North America,Grey,Diesel,Automatic,4.3,74407,86536,753,Low
i8,2023,Europe,Black,Electric,Automatic,3.3,27499,77366,2470,Low
X5,2011,Middle East,White,Hybrid,Automatic,2.1,194497,115910,9329,High
i8,2010,South America,Grey,Petrol,Manual,4.5,50118,38360,8732,High
M5,2022,Middle East,Red,Hybrid,Manual,3.7,8004,85639,9940,High
X6,2014,Asia,Black,Diesel,Manual,4.2,115130,43107,7314,High
X3,2010,South America,Red,Diesel,Automatic,3.5,175980,105554,7836,High
i8,2021,South America,Silver,Hybrid,Automatic,2.3,132905,66884,7098,High
i8,2016,Middle East,White,Hybrid,Manual,2.4,185496,57362,9233,High
X3,2024,Asia,White,Hybrid,Manual,2.5,45516,36472,8306,High
M3,2022,North America,Black,Hybrid,Manual,3.4,10380,80654,7340,High
X1,2022,Europe,Black,Diesel,Automatic,3.2,64376,85127,3861,Low
M5,2013,Asia,White,Petrol,Automatic,1.9,176631,98675,7185,High
X3,2023,Africa,White,Electric,Manual,4,176908,99005,3225,Low
3 Series,2018,Africa,Grey,Hybrid,Manual,2.3,20943,70323,6025,Low
5 Series,2016,Europe,White,Hybrid,Automatic,2.2,77514,70025,2461,Low
i3,2016,Middle East,Grey,Diesel,Automatic,4.4,114162,82024,1069,Low
5 Series,2021,North America,Black,Electric,Manual,2.1,53076,44825,157,Low
X6,2017,Europe,Blue,Petrol,Automatic,2.9,102547,56585,5987,Low
X1,2019,Europe,Silver,Diesel,Manual,4.5,127667,53135,6697,Low
X1,2013,Middle East,Grey,Petrol,Automatic,4.9,159530,96638,7537,High
X3,2024,Middle East,Blue,Diesel,Manual,3.7,87677,119691,3206,Low
X3,2017,North America,White,Petrol,Manual,3,138535,94833,2258,Low
X1,2015,Asia,Black,Petrol,Manual,2.8,96425,49917,9303,High
M5,2023,North America,Grey,Diesel,Automatic,2.8,136215,30558,2038,Low
X3,2022,South America,Silver,Hybrid,Manual,3.1,120798,83126,6937,Low
M3,2020,North America,Blue,Electric,Manual,3.6,138340,40056,595,Low
X6,2024,Europe,Silver,Electric,Manual,1.8,49994,42005,4951,Low
7 Series,2010,Asia,White,Electric,Automatic,3.6,82454,85255,7736,High
i3,2011,Asia,Silver,Diesel,Manual,3.7,142515,60072,5705,Low
X1,2017,Asia,Silver,Hybrid,Automatic,4.1,167781,32223,3691,Low
i3,2017,Asia,Silver,Petrol,Manual,3.6,41789,79634,2486,Low
X1,2020,Middle East,Red,Diesel,Manual,4.2,162373,63814,2761,Low
i8,2015,North America,Silver,Hybrid,Manual,4.8,182986,114169,3374,Low
M3,2020,Asia,Black,Hybrid,Manual,4.3,114430,91720,1267,Low
X3,2014,South America,Red,Diesel,Manual,2.2,21226,117226,2672,Low
5 Series,2022,Middle East,Black,Diesel,Manual,3.5,141314,84078,6956,Low
X1,2016,Africa,Red,Petrol,Automatic,3.7,70187,49010,3433,Low
M5,2021,Asia,Red,Hybrid,Automatic,3,105162,32076,9469,High
7 Series,2016,Asia,Blue,Electric,Manual,4.6,34220,58918,9847,High
X3,2013,Europe,Blue,Diesel,Manual,2.2,51544,55888,8623,High
M5,2020,North America,Grey,Diesel,Manual,1.7,31237,81949,4765,Low
3 Series,2019,Europe,Silver,Electric,Manual,3.3,125388,75486,9467,High
M3,2021,Middle East,Grey,Hybrid,Automatic,2.5,17981,50343,4632,Low
3 Series,2014,South America,White,Electric,Automatic,2.5,126691,76450,7499,High
3 Series,2023,Africa,Red,Electric,Automatic,1.7,120137,109257,3750,Low
7 Series,2024,Asia,Blue,Hybrid,Manual,1.8,15270,88062,4147,Low
X1,2019,Middle East,Red,Hybrid,Manual,1.8,62748,114311,179,Low
X3,2010,Europe,Grey,Electric,Automatic,3.1,192672,107487,4261,Low
3 Series,2014,South America,Grey,Petrol,Manual,2,196500,65948,6626,Low
X3,2017,Europe,Grey,Hybrid,Automatic,2.2,56434,51159,2895,Low
M5,2012,Africa,Grey,Hybrid,Automatic,2.7,120371,110300,7055,High
3 Series,2012,North America,Grey,Diesel,Automatic,3.2,77881,63441,2453,Low
X6,2023,Africa,White,Petrol,Automatic,2,93223,33542,1015,Low
X1,2022,Africa,Grey,Petrol,Manual,2.3,69830,34165,5242,Low
i8,2023,Middle East,Red,Hybrid,Manual,2.2,150837,100179,2075,Low
7 Series,2018,South America,Silver,Hybrid,Automatic,2.9,106055,67671,9588,High
X5,2015,Asia,Grey,Diesel,Manual,3.9,151694,111572,2200,Low
5 Series,2021,North America,Red,Electric,Automatic,3,114124,55376,2082,Low
M3,2017,Africa,Grey,Hybrid,Automatic,3.5,157656,65462,4703,Low
X5,2019,Asia,White,Electric,Manual,3.1,139109,73952,5667,Low
X5,2015,Middle East,Grey,Diesel,Manual,3.3,107099,101001,946,Low
X5,2010,South America,Silver,Electric,Automatic,4.7,143349,36298,4537,Low
X5,2024,Middle East,Grey,Diesel,Automatic,4.3,49854,62795,7833,High
5 Series,2024,Europe,Silver,Electric,Automatic,2.4,196556,114826,9096,High
i8,2021,Middle East,Red,Petrol,Automatic,4,106225,40842,6675,Low
X6,2019,South America,Silver,Hybrid,Manual,4.4,24606,80280,7178,High
5 Series,2020,Africa,White,Petrol,Automatic,3.6,22852,113678,3932,Low
i8,2020,Europe,Grey,Electric,Manual,3.9,915,90801,3639,Low
